converted,score_differential,game_seconds_remaining,situation
0,-12.0,606.0,Long_Opponent Territory
1,-12.0,353.0,Medium_Midfield Area
1,12.0,252.0,Medium_Opponent Territory
0,-12.0,49.0,Long_Red Zone
1,7.0,2959.0,Short_Opponent Territory
1,7.0,2831.0,Short_Opponent Territory
1,-14.0,2411.0,Short_Opponent Territory
1,6.0,1006.0,Short_Midfield Area
1,-3.0,25.0,Medium_Opponent Territory
0,-3.0,221.0,Short_Red Zone
1,0.0,205.0,Short_Opponent Territory
0,-15.0,1854.0,Long_Opponent Territory
0,-10.0,1015.0,Short_Opponent Territory
1,10.0,74.0,Long_Red Zone
1,-17.0,5.0,Medium_Opponent Territory
0,-4.0,58.0,Long_Red Zone
0,14.0,1920.0,Medium_Opponent Territory
0,-7.0,964.0,Short_Opponent Territory
0,6.0,2135.0,Short_Opponent Territory
1,-6.0,1170.0,Short_Opponent Territory
1,0.0,3351.0,Short_Opponent Territory
1,-10.0,1190.0,Short_Red Zone
1,-14.0,257.0,Medium_Red Zone
1,-17.0,827.0,Medium_Opponent Territory
1,-17.0,719.0,Short_Opponent Territory
0,-14.0,249.0,Long_Midfield Area
0,-14.0,87.0,Long_Red Zone
1,0.0,2700.0,Short_Red Zone
1,0.0,2084.0,Medium_Opponent Territory
1,0.0,151.0,Medium_Opponent Territory
1,-3.0,2802.0,Medium_Opponent Territory
1,-4.0,1864.0,Short_Midfield Area
0,-2.0,74.0,Long_Opponent Territory
1,-3.0,2774.0,Medium_Red Zone
1,-4.0,2414.0,Short_Opponent Territory
0,-4.0,2221.0,Short_Red Zone
0,4.0,1966.0,Short_Opponent Territory
0,-13.0,123.0,Short_Midfield Area
1,0.0,3446.0,Short_Opponent Territory
0,3.0,2656.0,Medium_Opponent Territory
0,0.0,1812.0,Short_Red Zone
1,0.0,1640.0,Short_Opponent Territory
0,14.0,813.0,Medium_Red Zone
1,-14.0,511.0,Long_Midfield Area
0,-14.0,231.0,Long_Red Zone
1,-14.0,54.0,Long_Midfield Area
0,-14.0,28.0,Long_Midfield Area
0,1.0,2154.0,Long_Opponent Territory
1,6.0,1588.0,Medium_Opponent Territory
1,-3.0,2311.0,Short_Red Zone
1,-17.0,500.0,Medium_Own Territory
1,-4.0,1920.0,Short_Opponent Territory
1,-14.0,929.0,Medium_Opponent Territory
1,-14.0,834.0,Short_Opponent Territory
